Record Length,2.50E+03,,0,50,,0,,,,,
Sample Interval,4.00E-04,,0.0004,50,,0,,,,,
Trigger Point,0.00E+00,,0.0008,50,,0,,simulink,,,
,,,0.0012,50,,0,,tout,Vact,,
,,,0.0016,49.6,,-1.25,,0,0,0,0
,,,0.002,49.6,,-1.25,,0.00125,7.878476839,0.007,0
Source,CH1,,0.0024,49.6,,-1.25,,0.0025,15.22624861,0.014,0
Vertical Units,V,,0.0028,50,,0,,0.00375,22.06845353,0.021,0
Vertical Scale,1.00E+01,,0.0032,50,,0,,0.005,28.43056158,0.028,0
Vertical Offset,-8.60E+01,,0.0036,50,,0,,0.007273685,38.85465814,0.035,0
Horizontal Units,s,,0.004,50,,0,,0.009547371,47.92462719,0.042,0
Horizontal Scale,1.00E-01,,0.0044,50,,0,,0.01193948,56.16280116,0.049,0
Pt Fmt,Y,,0.0048,50,,0,,0.014331589,63.2191251,0.056,0
Yzero,0.00E+00,,0.0052,50,,0,,0.016513995,68.74927006,0.063,0
Probe Atten,1.00E+01,,0.0056,50,,0,,0.018696401,73.51846132,0.07,0
Model Number,TDS2022B,,0.006,49.6,,-1.25,,0.02071134,77.32609367,0.077,0
Serial Number,C051976,,0.0064,50,,0,,0.022726279,80.62988928,0.084,0
Firmware Version,FV:v22.01,,0.0068,49.6,,-1.25,,0.024722848,83.46539059,0.091,0
,,,0.0072,50,,0,,0.026719416,85.9173279,0.098,0
,,,0.0076,50,,0,,0.028741273,88.05761516,0.105,0
,,,0.008,50,,0,,0.030763129,89.89650463,0.112,0
,,,0.0084,50,,0,,0.03283319,91.50754083,0.119,0
,,,0.0088,50,,0,,0.034903252,92.88023007,0.126,0
,,,0.0092,50,,0,,0.037039274,94.08121029,0.133,0
,,,0.0096,50,,0,,0.039175295,95.09422524,0.14,0
,,,0.01,50,,0,,0.041393584,95.97647539,0.147,0
,,,0.0104,50,,0,,0.043611872,96.71173387,0.154,0
,,,0.0108,49.6,,-1.25,,0.045929037,97.3474286,0.161,0
,,,0.0112,50,,0,,0.048246203,97.86965208,0.168,0
,,,0.0116,49.6,,-1.25,,0.050680339,98.31663958,0.175,0
,,,0.012,50.4,,1.25,,0.053114475,98.67753851,0.182,0
