Record Length,2.50E+03,,0,50
Sample Interval,4.00E-04,,0.0004,50
Trigger Point,0.00E+00,,0.0008,50
,,,0.0012,50
,,,0.0016,50
,,,0.002,50
Source,CH1,,0.0024,50
Vertical Units,V,,0.0028,50
Vertical Scale,1.00E+01,,0.0032,50
Vertical Offset,-8.28E+01,,0.0036,49.6
Horizontal Units,s,,0.004,50
Horizontal Scale,1.00E-01,,0.0044,50
Pt Fmt,Y,,0.0048,50
Yzero,0.00E+00,,0.0052,50
Probe Atten,1.00E+01,,0.0056,50
Model Number,TDS2022B,,0.006,50
Serial Number,C051976,,0.0064,50
Firmware Version,FV:v22.01,,0.0068,49.6
,,,0.0072,50.4
,,,0.0076,50
,,,0.008,50
,,,0.0084,50
,,,0.0088,49.6
,,,0.0092,50
,,,0.0096,50
,,,0.01,49.6
,,,0.0104,50
,,,0.0108,50
,,,0.0112,50
,,,0.0116,50
,,,0.012,50
,,,0.0124,50
,,,0.0128,50
,,,0.0132,50
,,,0.0136,50
,,,0.014,50
,,,0.0144,50
,,,0.0148,50
,,,0.0152,50
,,,0.0156,49.6
,,,0.016,50
,,,0.0164,49.6
,,,0.0168,50
,,,0.0172,50.4
,,,0.0176,50
,,,0.018,50
,,,0.0184,50
,,,0.0188,50
,,,0.0192,50
,,,0.0196,50
,,,0.02,50
,,,0.0204,50
,,,0.0208,50.4
,,,0.0212,50
,,,0.0216,50
,,,0.022,50
,,,0.0224,49.6
,,,0.0228,50
,,,0.0232,50
,,,0.0236,50
,,,0.024,50
,,,0.0244,50
,,,0.0248,50
,,,0.0252,50
,,,0.0256,50
,,,0.026,50
,,,0.0264,50
,,,0.0268,50
,,,0.0272,50
,,,0.0276,50
,,,0.028,50
,,,0.0284,50
,,,0.0288,49.6
,,,0.0292,50
,,,0.0296,50
,,,0.03,50
,,,0.0304,50
,,,0.0308,50
,,,0.0312,50
,,,0.0316,50
,,,0.032,50
,,,0.0324,50
,,,0.0328,50
,,,0.0332,50
,,,0.0336,50
,,,0.034,49.6
,,,0.0344,49.6
,,,0.0348,50
,,,0.0352,50
,,,0.0356,50
,,,0.036,50.4
