Record Length,2.50E+03,,0,81.6
Sample Interval,4.00E-04,,0.0004,82
Trigger Point,0.00E+00,,0.0008,84.8
,,,0.0012,82.4
,,,0.0016,82.4
,,,0.002,82
Source,CH1,,0.0024,82
Vertical Units,V,,0.0028,82
Vertical Scale,1.00E+01,,0.0032,81.6
Vertical Offset,-8.04E+01,,0.0036,82
Horizontal Units,s,,0.004,84.8
Horizontal Scale,1.00E-01,,0.0044,82.4
Pt Fmt,Y,,0.0048,82.4
Yzero,0.00E+00,,0.0052,82
Probe Atten,1.00E+01,,0.0056,82
Model Number,TDS2022B,,0.006,82
Serial Number,C051976,,0.0064,82
Firmware Version,FV:v22.01,,0.0068,82.4
,,,0.0072,84.8
,,,0.0076,82.8
,,,0.008,82.4
,,,0.0084,82
,,,0.0088,82
,,,0.0092,81.6
,,,0.0096,81.6
,,,0.01,82
,,,0.0104,85.6
,,,0.0108,82.8
,,,0.0112,82.4
,,,0.0116,82
,,,0.012,82
,,,0.0124,81.2
,,,0.0128,81.6
,,,0.0132,82
,,,0.0136,85.6
,,,0.014,83.2
,,,0.0144,82
,,,0.0148,81.6
,,,0.0152,82
,,,0.0156,81.6
,,,0.016,81.2
,,,0.0164,82
,,,0.0168,86
,,,0.0172,82.8
,,,0.0176,82.4
,,,0.018,82
,,,0.0184,81.6
,,,0.0188,81.2
,,,0.0192,80.8
,,,0.0196,81.2
,,,0.02,85.6
,,,0.0204,82.8
,,,0.0208,82.4
,,,0.0212,82
,,,0.0216,82
,,,0.022,82
,,,0.0224,81.2
,,,0.0228,81.6
,,,0.0232,83.2
,,,0.0236,83.2
,,,0.024,82.4
,,,0.0244,82
,,,0.0248,82
,,,0.0252,82
,,,0.0256,81.6
,,,0.026,81.6
,,,0.0264,84
,,,0.0268,83.2
,,,0.0272,82.4
,,,0.0276,82.4
,,,0.028,82
,,,0.0284,81.6
,,,0.0288,80.8
,,,0.0292,81.6
,,,0.0296,83.2
,,,0.03,83.2
,,,0.0304,82.8
,,,0.0308,82
,,,0.0312,82
,,,0.0316,82
,,,0.032,81.2
,,,0.0324,81.6
,,,0.0328,82
,,,0.0332,83.2
,,,0.0336,82.4
